,notes
230,[]
240,[]
285,[]
301,['']
312,"['', '']"
319,[]
339,"['', '', '']"
348,['']
370,[]
390,[]
394,"['', '', '']"
395,"['', '', '', '', '', '']"
403,[]
419,
524,[]
579,[]
580,[]
581,[]
582,[]
585,"['vii', 'xii']"
587,"['iv', 'v', 'xi', 'xii', 'xxi', 'xxii', 'xxiv', 'xxvi', 'xxvii', 'xxx', 'xxxi']"
588,"['iv', 'v', 'xi', 'xii', 'xxi', 'xxii', 'xxiv', 'xxvi', 'xxvii', 'xxx', 'xxxi']"
591,[]
592,[]
600,['v']
601,[]
608,"['', '']"
609,"['v', 'v']"
610,[]
611,"['I', 'I', 'I', 'I', 'II', 'II', 'II', 'II', 'II', 'II', 'II']"
612,"['II', 'III', 'III', 'III', 'III', 'III', 'III', 'III', 'III']"
613,"['II', 'III', 'III', 'III', 'III', 'III', 'III', 'III', 'III']"
615,['']
616,[]
617,['III']
618,[]
619,[]
623,"['I', 'I', 'II', 'II', 'II', 'II', 'II', 'II', 'II', 'II', 'II', 'II', 'II', 'II']"
626,[]
628,[]
632,"['', 'v']"
638,['xxi']
639,"['', 'v', 'ix', 'xx', 'xxx', '', 'v', '', 'v']"
644,"['v', 'v']"
645,"['v', 'v']"
646,"['v', 'v']"
649,['I']
651,"['', '', '', '', '', '', '', '']"
652,"['', '', '', '', '', '', '', '']"
662,[]
665,"['v', 'v']"
667,[]
668,"['v', '', 'vii', 'v', '', 'v', '', 'v', '']"
669,[]
671,"['', '', 'I', 'ii', '']"
672,['ii']
673,"['', '', '', '', '']"
677,"['', '', '', '', '', '']"
708,[]
711,"['v', 'v']"
713,[]
714,"['v', '', 'vii', 'v', '', 'v', '', 'v', '']"
715,[]
717,"['', '', 'I', 'ii', '']"
718,['ii']
719,"['', '', '', '', '']"
723,"['', '', '', '', '', '']"
756,
762,[]
763,[]
767,
769,[]
777,[]
778,[]
780,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
783,['']
784,"['', 'v', 'V', 'V', '', '']"
789,"['', '', '', '', '']"
796,"['', '', '', '', '']"
809,
810,"['', '', '', '', '', '', '']"
817,
818,"['', 'v', '', 'v', '', '', '', '']"
819,"['', '', '', '', '', '', '', '', 'v', '', 'VI', '', '', '', '', '', 'd', '', '', 'XVI', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
830,"['', '', '', '', '', 'I', '', '', '', '', '', '', '', 'I', '', '', '', 'I', '', '', '', '', '', '', '', 'I', '', '', '', '', '', '', '', '']"
831,"['', '', '', '', '', '', '']"
835,"['', '', '', '', '']"
837,"['', '', '', '', 'v', 'v', 'v']"
838,"['', '']"
842,
843,"['', 'v', '', '', '', '', '', '', '', 'v', '', '']"
848,['']
854,"['', '']"
855,[]
862,"['', '', '', '', '', '', '', '', '', '', '']"
864,"['v', 'viii', 'ix', 'x', 'xi', 'xiii', '', '']"
865,"['vii', 'viii', 'xii', 'xv', 'xvii', 'xx', 'xxxvi', 'xxxvii', 'xxxix', 'xlii', 'xlv', 'xlix', 'li', 'lvi', 'lvii', 'lxiii', 'lxviii', '', '']"
867,"['v', '', 'v', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'v', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'v']"
869,
870,"['', '', '', '']"
874,[]
877,['']
879,"['', '']"
880,[]
881,"['', '', '', '', 'II']"
883,['']
888,"['', '', '', '', '', '', '', '', '', 'v', '', '', 'v']"
890,"['', '']"
897,"['iv', '', '', '', '', '', '', '', 'd', '', 'iv', 'vi', 'x', 'xiv']"
900,['vi']
904,[]
905,"['', '']"
907,"['', '', '', '']"
910,"['', '', '', '', '', '', '', '', 'c', 'v']"
912,"['', '']"
913,"['', '', '']"
914,['']
915,"['', '']"
919,
921,"['', '', '', 'i', 'v', '', '', 'I']"
924,"['', '', '', '', '', '', '', '', '', '', '']"
927,"['', '', '', '', '', '', '', '', '', '', '', '', '']"
931,
932,"['', '']"
933,"['', '', '']"
935,['']
937,"['', '', '', '', '']"
944,
947,['']
951,"['', '']"
954,"['', '']"
961,[]
962,"['', '', '', '', '']"
970,"['', '', '']"
972,"['', '', 'v', 'v', 'v']"
983,['']
985,[]
987,[]
989,[]
992,['']
993,[]
995,['']
1000,['']
1007,"['', '']"
1014,
1017,['']
1021,['']
1025,"['', '']"
1027,['']
1031,"['', '', '', '']"
1032,"['', 'v', 'v']"
1033,"['', '', '', '', '', '', 'II', '']"
1035,[]
1038,"['', '']"
1040,[]
1041,"['', '', '', '']"
1050,"['', '']"
1058,"['', '']"
1067,"['v', '']"
1068,"['', '', '', '', '', '', '', '', '', 'I', '']"
1070,"['', '']"
1071,['']
1073,"['', '']"
1079,"['', '']"
1081,"['', 'v']"
1085,[]
1086,[]
1088,"['', '']"
1090,"['', '']"
1092,"['', '']"
1095,[]
1101,['']
1122,['']
1129,"['', '']"
1132,"['', '', '']"
1133,[]
1140,"['', '', '']"
1142,[]
1148,"['', 'xvii', '', '', '', '', '', '', '', '', '', '', '']"
1150,"['', '', '']"
1154,"['', '', '', '', '', '', '', '', '', '', '', '']"
1156,"['', '', '', '', '', '', '', '', '', '', '', '']"
1162,"['', '', '', '', '']"
1165,['']
1170,['']
1180,['']
1184,['']
1187,
1192,"['', '', '', '', '']"
1193,[]
1195,"['', 'v', 'v', 'v', 'v', '', '', '']"
1196,"['', 'v', 'v', 'v', 'v', '', '', '']"
1197,[]
1202,[]
1215,"['', '', '', 'I']"
1218,"['', '']"
1221,[]
1222,"['', 'v', 'v']"
1227,"['', '', '']"
1228,"['', '', '']"
1230,['']
1231,"['', '', '', '', '']"
1239,"['', '', 'v', 'v', '', '']"
1243,['']
1244,[]
1248,['']
1253,"['', 'v', 'v']"
1255,"['', '', '', '', '', '']"
1256,"['', '', '', '']"
1262,"['', '', '', 'v']"
1263,"['', 'XX']"
1265,"['', '', 'II', 'vi']"
1274,"['', 'v', '']"
1279,"['', '', '', '', 'iv']"
1280,"['', '', '', 'xxxi']"
1293,"['', 'v', '', 'D']"
1294,['']
1304,['']
1305,"['v', '', '', '', '', 'v', '', '']"
1319,"['', '']"
1321,[]
1323,"['', '', '', '']"
1327,['v']
1337,"['', 'v', '']"
1338,"['', '', '', '', '', '', '', '', '', '', '', '', '']"
1342,"['', '', '', 'v', 'I', '']"
1343,"['', '']"
1345,"['', '', '', '']"
1349,"['v', '', '', '', '', '', '', '', 'v']"
1350,"['v', '', '', '', '', '', 'v', '', '', '', '', '', '', '', '', '', '']"
1351,"['', '']"
1354,"['', '']"
1355,"['', '', '', '', '', '']"
1361,"['', '', '', '', '', '', '', '', '', '', '', '', '']"
1363,"['', '']"
1367,"['', '', '', '']"
1373,"['', 'I', '', 'II', '', '', '']"
1379,[]
1385,"['', 'I', '', '', '', '', '', '', '', '', '', 'II', '', '', '', '', '', 'II', '', '', '', '', '', '', 'II', '', '', '', '', '', '', '', '', '', 'II', '', '', '', '', '']"
1387,"['', 'I', '']"
1389,['']
1397,"['', '', '', 'I', '', '', 'II', '', '', '', '', '', '', 'IV', '', '', '', '', '', '', 'V', '']"
1398,"['', 'III', '', '', 'V', '', '']"
1404,"['', '', '', '', '', '', '', 'I', '', 'III', '', 'IV']"
1407,"['', '']"
1409,"['', '', '']"
1410,"['', '', 'I', '', '', 'II']"
1419,"['', '', '', '', '', '', '']"
1420,"['', '', '', '', '', '', '', '', '', '', '', '', '', '']"
1422,"['', '', '']"
1423,['']
1424,"['', '', 'I', '', '', 'II', '', '', '', 'I', '', '', 'I', '', '', 'II', '', '', 'I', '', '', '', '', 'II', '', '', '', 'II']"
1427,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
1432,"['', 'II', '', 'M', '', '']"
1433,"['', '', '', '', '', '']"
1434,"['', '', '', '']"
1440,"['', '', '', '', '']"
1448,['']
1449,"['', '', '', '', '', '', '', '', '', '', '']"
1451,"['', '']"
1454,"['', 'v', '', '', '', '', '', '', '', '', 'v', 'v', '', 'v', '', '', 'v', '', '', '', '', '', '']"
1458,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
1460,"['', '', '', '', '']"
1464,"['', '', '', '', '', '', '', '', 'd', '']"
1465,"['', '', '', '', '', '', '']"
1467,"['', '', '']"
1469,"['', '', '', '', '', '', '', '', '', '', '', 'I', '']"
1470,"['', '', '', '', '', '', '', '', '', '', '', 'I', '']"
1472,"['', '', '', '', '', '', '', '', '', '', '', '', '']"
1474,"['', '', '', '', '']"
1475,"['', '', '', '', '', '', '', '', '', '', 'XCIV', '']"
1476,['']
1477,"['', '', '', '', '', '', '', '', '']"
1479,"['I', 'I', '', 'I', '', '', '', '', '']"
1483,"['', '', '', '', '', '', '', '', '', '', '', '', '']"
1487,['']
1488,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'XXII', 'XXIII', '', '', '', '']"
1491,['']
1494,"['', '', '', '']"
1495,"['', '', '', '', '', '']"
1496,"['', '']"
1499,"['', '', '', '', '', '', '']"
1500,"['', '', '', '', '', '', '']"
1504,"['', '', '', '', '', '']"
1507,"['', '']"
1510,"['', '', 'vi', '', '', '', '', '', '', '']"
1512,"['', '', '', '', '', 'I']"
1514,"['', '', '', '', '']"
1515,"['', 'IV', '', '', '', '', '']"
1516,"['', 'I', '', '', 'I', 'M', '']"
1519,"['', '']"
