,Filename,DocumentID,ESTC_ID,Date,Title,Vol_Number,Author,Imprint,Field_Headings,fn_pages,nofn_pages,TableName,fn.percent,decade,footnotes_present,tags,,
5098,0000100701.xml,100701,T134638,1779,Prince Arthur: an allegorical romance. The story from Spenser. In two volumes. ...,Volume 1,"Bicknell, Alexander","London : printed for G. Riley; and sold by F. Newbery, 1779.","Spenser, Edmund,, 1552?-1599, Adaptations",1,259,Manifest_LitAndLang2,0.003846154,1770,1,"C, IT",,
5099,0000100702.xml,100702,T134638,1779,Prince Arthur: an allegorical romance. The story from Spenser. In two volumes. ...,Volume 2,"Bicknell, Alexander","London : printed for G. Riley; and sold by F. Newbery, 1779.","Spenser, Edmund,, 1552?-1599, Adaptations",1,261,Manifest_LitAndLang2,0.003816794,1770,0,CW,,
5100,0000100800.xml,100800,T112791,1788,"Ismene and Ismenias, a novel translated from the French by L. H. Le Moine, ...",0,"Eustathius, Macrembolites","London [i.e. Paris] : et se trouve <c3><a0> Paris, chez Cazin, 1788.","Eustathius,, Macrembolites,, 12th cent., De Ismeniae et Ismenes amoribus libri XI, Early works to 1800, French fiction, 18th century",1,211,Manifest_LitAndLang2,0.004716981,1780,0,"BQ, P, TY, TE",,
450,0000200500.xml,200500,T128705,1791,"Scelta di novelle di Giovanni Boccaccio, fatta dal Dottore Giuseppe Giannini.",0,"Boccaccio, Giovanni","In Londra : presso Francesco Wingrave, successore di Giovanni Nourse, Nella Strada detta Strand, MDCCXCI. [1791].","Italian fiction, 18th century",1,306,Manifest_LitAndLang1,0.003257329,1790,0,SE,,
453,0000200700.xml,200700,T128696,1741,"The decameron, or ten days entertainment of Boccace. Translated from the Italian.",0,"Boccaccio, Giovanni","London : printed for R. Dodsley, at Tully's Head in Pall-Mall, MDCCXLI. [1741].","Wood-engraving, English, Specimens, 17th century",1,600,Manifest_LitAndLang1,0.001663894,1740,2,,,
458,0000300202.xml,300202,T102664,1789,"Zelia in the desert. From the French. By the lady who translated \adelaide and Theodore\""; and \""anecdotes of Henry IV. of France.\"" In three volumes. ...""",Volume 2,"Daubenton, Mme. (Marguerite)","London : printed for G. and T. Wilkie, No 71, St. Paul's Church-Yard, MDCCLXXXIX. [1789].","Voyages, Imaginary, Early works to 1800",1,257,Manifest_LitAndLang1,0.003875969,1780,0,"CW, SM",,
5103,0000300303.xml,300303,T130466,1787,"Laure, ou lettres de quelques personnes de Suisse. ...",Volume 3,"Constant, Samuel de","A Londres [i.e. Paris?] : [s.n.], M.DCC.LXXXVII. [1787].","Epistolary fiction, French, Early works to 1800",1,300,Manifest_LitAndLang2,0.003322259,1780,0,"PO, PB",,
465,0000400100.xml,400100,T086543,1730,"The spanish rogue, or, the life of Guzman de Alfarache. Giving an Exact Account of all his Witty and Unparalel'd Rogueries. In two parts. shall live; he is become agen A new-born Caveat to all living Men; That some whose Candles leading them amiss from his. May mend their ways, by fetching light Entered According to Order.",0,"Alem<c3><a1>n, Mateo","London : printed for Tho. Smith, in Corn-Hill, [1730?].","Guzma<c3><be>n de Alfarache, Early works to 1800, French fiction, Translations into English, Early works to 1800",1,167,Manifest_LitAndLang1,0.005952381,1730,0,CW,,
468,0000400300.xml,400300,T131685,1791,Galatea a pastoral romance; imitated from Cervantes by M. de Florian. Translated by an officer.,0,Florian,"Dublin : printed by P. Byrne, 108, Grafton Street, MDCCXCI. [1791].","Andre, John,, 1751-1780",1,311,Manifest_LitAndLang1,0.003205128,1790,1,T,,
471,0000400502.xml,400502,T131191,1752,"Le beau-Frere suppos<c3><a9>, par Madame D. V...",Volume 2,"Villeneuve, Gabrielle-Suzanne Barbot Gallon, dame de","A Londres [i.e. Leipzig?] : [s.n.], M.DCC.LII. [1752].","French fiction, 18th century",1,178,Manifest_LitAndLang1,0.005586592,1750,0,,,
476,0000500202.xml,500202,T131172,1765,"Lettres de Sophie et du Chevalier de **, pour servir de suppl<c3><a9>ment aux Lettres du Marquis de Roselle. Par Monsieur De ***. Premiere Partie.",Volume 2,"Desfontaines, M. (Guillaume Fran<c3><a7>ois Fouques Deshayes)","A Londres : et se trouvent <c3><a0> Paris, chez L'Esclapart, Libraire, Quai de G<c3><aa>vres, M.D.CC.LXV. [1765].","Epistolary fiction, French, Early works to 1800",1,278,Manifest_LitAndLang1,0.003584229,1760,1,"C, T",,
478,0000500400.xml,500400,T131511,1781,"Les delices du sentiment; or the passionate lovers: in a series of letters which have recently passed between two celebrated characters, Well known in Polite Life for their Virtues, Talents, and Accomplishments. With a translation from the originals. Written in cypher. Several of those Letters are entrusted to the Publisher, for the Satisfaction of those Readers who doubt their Authenticity.",0,Anon,"London : printed for J. Macgowan, No. 27, Pater-Noster Row, MDCCLXXXI. [1781].","English letters, Early works to 1800",1,174,Manifest_LitAndLang1,0.005714286,1780,1,"T, IT",,
482,0000500701.xml,500701,T131197,1759,"Female banishment: or, the woman hater. Originally wrote by the Chevalier de Mouhy, ... In two volumes. ...",Volume 1,"Mouhy, Charles de Fieux, chevalier de","London : printed for T. Lownds, 1759.","Exile (Punishment), Early works to 1800, Women, Early works to 1800",1,314,Manifest_LitAndLang1,0.003174603,1750,1,"C, T",,
483,0000500702.xml,500702,T131197,1759,"Female banishment: or, the woman hater. Originally wrote by the Chevalier de Mouhy, ... In two volumes. ...",Volume 2,"Mouhy, Charles de Fieux, chevalier de","London : printed for T. Lownds, 1759.","Exile (Punishment), Early works to 1800, Women, Early works to 1800",1,296,Manifest_LitAndLang1,0.003367003,1750,1,C,,
485,0000500901.xml,500901,T098588,1727,"The illustrious French lovers; being the true histories of the amours of several French persons of quality. In which are contained A great Number of excellent Examples, and rare and uncommon Accidents; Shewing The Polite Breeding and Gallantry of the Gentlemen and Ladies of the French Nation. Written originally in French, and translated into English by Mrs. P. Aubin. In two volumes.",Volume 1,"Challes, Robert","London : printed for John Darby, Arthur Bettesworth, Francis Fayram, John Pemberton, Charles Rivington John Hooke, Francis Clay, Jeremiah Batley, Edward Symon, M.DCC.XXVII. [1727].","Love stories, French, Translated into English, Early works to 1800",1,288,Manifest_LitAndLang1,0.003460208,1720,1,"C, T",,
491,0000600301.xml,600301,T001753,1725,"Cassandra, a romance. In five parts. Written originally in French, and faithfully translated into English, by Sir Charles Cotterell, Master of the Ceremonies to King Charles I. and King Charles II. ...",Volume 1,"La Calpren<c3><a8>de, Gaultier de Coste, seigneur de","London : printed for John Darby, Arthur Bettesworth, Francis Fayram, John Pemberton, John Hooke, Charles Rivington, Francis Clay, John Batley, Edward Symon, M.DCC.XXV. [1725].","French fiction, Translations into English, 18th century",1,385,Manifest_LitAndLang1,0.002590674,1720,1,CW,,
492,0000600302.xml,600302,T001753,1725,"Cassandra, a romance. In five parts. Written originally in French, and faithfully translated into English, by Sir Charles Cotterell, Master of the Ceremonies to King Charles I. and King Charles II. ...",Volume 2,"La Calpren<c3><a8>de, Gaultier de Coste, seigneur de","London : printed for John Darby, Arthur Bettesworth, Francis Fayram, John Pemberton, John Hooke, Charles Rivington, Francis Clay, John Batley, Edward Symon, M.DCC.XXV. [1725].","French fiction, Translations into English, 18th century",1,377,Manifest_LitAndLang1,0.002645503,1720,0,CW,,
495,0000600305.xml,600305,T001753,1725,"Cassandra, a romance. In five parts. Written originally in French, and faithfully translated into English, by Sir Charles Cotterell, Master of the Ceremonies to King Charles I. and King Charles II. ...",Volume 5,"La Calpren<c3><a8>de, Gaultier de Coste, seigneur de","London : printed for John Darby, Arthur Bettesworth, Francis Fayram, John Pemberton, John Hooke, Charles Rivington, Francis Clay, John Batley, Edward Symon, M.DCC.XXV. [1725].","French fiction, Translations into English, 18th century",1,350,Manifest_LitAndLang1,0.002849003,1720,0,CW,,
499,0000700401.xml,700401,T131202,1764,"La constance couron<c3><a9>e, ou les <c3><a9>poux unis par l'amour; histoire nouvelle. Fausta quies nixum virtute coronat amorem. V. Premiere Partie.",Volume 1,Anon,"A Londres [i.e. Paris?] : et se trouve <c3><a0> Paris, chez Duchesne, Libraire, rue S. Jacques au - dessous de la Fontaine S. Beno<c3><ae>t, au Temple du Go<c3><bb>t, M.DCC.LXIV. [1764].","Love stories, French, Early works to 1800",1,199,Manifest_LitAndLang1,0.005,1760,0,SE,,
503,0000700700.xml,700700,T131217,1742,"Pigmalion, ou la statue anim<c3><a9>e.",0,"Deslandes, M. (Andr<c3><a9> Fran<c3><a7>ois)","A Londres [i.e. Amsterdam?] : chez Samuel Harding, M.DCC.XLII. [1742].","French fiction, 18th century",1,217,Manifest_LitAndLang1,0.004587156,1740,1,IT,,
506,0000700902.xml,700902,T094715,1797,"The cousins of Schiras. In two volumes. Translated from the French by John Brereton Birch, Esq. ...",Volume 2,Anon,"London : printed for William Lane, at the Minerva-Press, Leadenhall-Street, M.DCC.XCVII. [1797].","French fiction, 18th century, Translations into English",1,201,Manifest_LitAndLang1,0.004950495,1790,0,"CW, PB",,
512,0000800500.xml,800500,T131510,1775,"Temple de m<c3><a9>moire, ou visions d'un solitaire.",0,"Giraud, C.-M. (Claude-Marie)","A Londres [i.e. Paris?] : et se trouve <c3><a0> Paris, chez Ruault, Libraire, rue de la Harpe, M.DCC.LXXV. [1775].","French fiction, 18th century",1,180,Manifest_LitAndLang1,0.005524862,1770,0,,,
518,0000900100.xml,900100,T131607,1766,"M<c3><a9>moires de Madame la Baronne de Batteville, ou la veuve parfaite. Par Madme. Le Prince de Beaumont.",0,"Leprince de Beaumont, Madame (Jeanne-Marie)","A Londres [i.e. Paris?] : chez J. Nourse, Libraire du Roi, M.DCC.LXVI. [1766].","Epistolary fiction, French, Early works to 1800",1,326,Manifest_LitAndLang1,0.003058104,1760,0,"PB, CW, TY, PO",,
