Unnamed: 0,Filename,DocumentID,ESTC_ID,Date,Title,Vol_Number,Author,Imprint,Field_Headings,fn_pages,nofn_pages,TableName,fn.percent,decade,footnotes_present
5099,0000100702.xml,100702,T134638,1779,Prince Arthur: an allegorical romance. The story from Spenser. In two volumes. ...,Volume 2,"Bicknell, Alexander","London : printed for G. Riley; and sold by F. Newbery, 1779.","Spenser, Edmund,, 1552?-1599, Adaptations",1,261,Manifest_LitAndLang2,0.003816794,1770,0
5100,0000100800.xml,100800,T112791,1788,"Ismene and Ismenias, a novel translated from the French by L. H. Le Moine, ...",0,"Eustathius, Macrembolites","London [i.e. Paris] : et se trouve <c3><a0> Paris, chez Cazin, 1788.","Eustathius,, Macrembolites,, 12th cent., De Ismeniae et Ismenes amoribus libri XI, Early works to 1800, French fiction, 18th century",1,211,Manifest_LitAndLang2,0.004716981,1780,0
450,0000200500.xml,200500,T128705,1791,"Scelta di novelle di Giovanni Boccaccio, fatta dal Dottore Giuseppe Giannini.",0,"Boccaccio, Giovanni","In Londra : presso Francesco Wingrave, successore di Giovanni Nourse, Nella Strada detta Strand, MDCCXCI. [1791].","Italian fiction, 18th century",1,306,Manifest_LitAndLang1,0.003257329,1790,0
458,0000300202.xml,300202,T102664,1789,"Zelia in the desert. From the French. By the lady who translated \adelaide and Theodore\""; and \""anecdotes of Henry IV. of France.\"" In three volumes. ...""",Volume 2,"Daubenton, Mme. (Marguerite)","London : printed for G. and T. Wilkie, No 71, St. Paul's Church-Yard, MDCCLXXXIX. [1789].","Voyages, Imaginary, Early works to 1800",1,257,Manifest_LitAndLang1,0.003875969,1780,0
5103,0000300303.xml,300303,T130466,1787,"Laure, ou lettres de quelques personnes de Suisse. ...",Volume 3,"Constant, Samuel de","A Londres [i.e. Paris?] : [s.n.], M.DCC.LXXXVII. [1787].","Epistolary fiction, French, Early works to 1800",1,300,Manifest_LitAndLang2,0.003322259,1780,0
465,0000400100.xml,400100,T086543,1730,"The spanish rogue, or, the life of Guzman de Alfarache. Giving an Exact Account of all his Witty and Unparalel'd Rogueries. In two parts. shall live; he is become agen A new-born Caveat to all living Men; That some whose Candles leading them amiss from his. May mend their ways, by fetching light Entered According to Order.",0,"Alem<c3><a1>n, Mateo","London : printed for Tho. Smith, in Corn-Hill, [1730?].","Guzma<c3><be>n de Alfarache, Early works to 1800, French fiction, Translations into English, Early works to 1800",1,167,Manifest_LitAndLang1,0.005952381,1730,0
468,0000400300.xml,400300,T131685,1791,Galatea a pastoral romance; imitated from Cervantes by M. de Florian. Translated by an officer.,0,Florian,"Dublin : printed by P. Byrne, 108, Grafton Street, MDCCXCI. [1791].","Andre, John,, 1751-1780",1,311,Manifest_LitAndLang1,0.003205128,1790,0
471,0000400502.xml,400502,T131191,1752,"Le beau-Frere suppos<c3><a9>, par Madame D. V...",Volume 2,"Villeneuve, Gabrielle-Suzanne Barbot Gallon, dame de","A Londres [i.e. Leipzig?] : [s.n.], M.DCC.LII. [1752].","French fiction, 18th century",1,178,Manifest_LitAndLang1,0.005586592,1750,0
482,0000500701.xml,500701,T131197,1759,"Female banishment: or, the woman hater. Originally wrote by the Chevalier de Mouhy, ... In two volumes. ...",Volume 1,"Mouhy, Charles de Fieux, chevalier de","London : printed for T. Lownds, 1759.","Exile (Punishment), Early works to 1800, Women, Early works to 1800",1,314,Manifest_LitAndLang1,0.003174603,1750,0
492,0000600302.xml,600302,T001753,1725,"Cassandra, a romance. In five parts. Written originally in French, and faithfully translated into English, by Sir Charles Cotterell, Master of the Ceremonies to King Charles I. and King Charles II. ...",Volume 2,"La Calpren<c3><a8>de, Gaultier de Coste, seigneur de","London : printed for John Darby, Arthur Bettesworth, Francis Fayram, John Pemberton, John Hooke, Charles Rivington, Francis Clay, John Batley, Edward Symon, M.DCC.XXV. [1725].","French fiction, Translations into English, 18th century",1,377,Manifest_LitAndLang1,0.002645503,1720,0
495,0000600305.xml,600305,T001753,1725,"Cassandra, a romance. In five parts. Written originally in French, and faithfully translated into English, by Sir Charles Cotterell, Master of the Ceremonies to King Charles I. and King Charles II. ...",Volume 5,"La Calpren<c3><a8>de, Gaultier de Coste, seigneur de","London : printed for John Darby, Arthur Bettesworth, Francis Fayram, John Pemberton, John Hooke, Charles Rivington, Francis Clay, John Batley, Edward Symon, M.DCC.XXV. [1725].","French fiction, Translations into English, 18th century",1,350,Manifest_LitAndLang1,0.002849003,1720,0
499,0000700401.xml,700401,T131202,1764,"La constance couron<c3><a9>e, ou les <c3><a9>poux unis par l'amour; histoire nouvelle. Fausta quies nixum virtute coronat amorem. V. Premiere Partie.",Volume 1,Anon,"A Londres [i.e. Paris?] : et se trouve <c3><a0> Paris, chez Duchesne, Libraire, rue S. Jacques au - dessous de la Fontaine S. Beno<c3><ae>t, au Temple du Go<c3><bb>t, M.DCC.LXIV. [1764].","Love stories, French, Early works to 1800",1,199,Manifest_LitAndLang1,0.005,1760,0
506,0000700902.xml,700902,T094715,1797,"The cousins of Schiras. In two volumes. Translated from the French by John Brereton Birch, Esq. ...",Volume 2,Anon,"London : printed for William Lane, at the Minerva-Press, Leadenhall-Street, M.DCC.XCVII. [1797].","French fiction, 18th century, Translations into English",1,201,Manifest_LitAndLang1,0.004950495,1790,0
512,0000800500.xml,800500,T131510,1775,"Temple de m<c3><a9>moire, ou visions d'un solitaire.",0,"Giraud, C.-M. (Claude-Marie)","A Londres [i.e. Paris?] : et se trouve <c3><a0> Paris, chez Ruault, Libraire, rue de la Harpe, M.DCC.LXXV. [1775].","French fiction, 18th century",1,180,Manifest_LitAndLang1,0.005524862,1770,0
518,0000900100.xml,900100,T131607,1766,"M<c3><a9>moires de Madame la Baronne de Batteville, ou la veuve parfaite. Par Madme. Le Prince de Beaumont.",0,"Leprince de Beaumont, Madame (Jeanne-Marie)","A Londres [i.e. Paris?] : chez J. Nourse, Libraire du Roi, M.DCC.LXVI. [1766].","Epistolary fiction, French, Early works to 1800",1,326,Manifest_LitAndLang1,0.003058104,1760,0
523,0000900501.xml,900501,T129718,1794,"The confessions of James Baptiste Couteau, citizen of France, written by himself: and translated from the original French, by Robert Jephson, Esq. Illustrated with nine engravings. ...",Volume 1,"Jephson, Robert","London : printed for J. Debrett, 1794.","France, History, Revolution, 1789-1799, Fiction",1,277,Manifest_LitAndLang1,0.003597122,1790,0
529,0001000200.xml,1000200,T077325,1765,"Histoire amoureuse, de Pierre le long, et de sa tr<c3><a8>s honnor<c3><a9>e dame Blanche Bazu. Ecritte par iceluy. La musique de Mr. Philidor.",0,"Billardon de Sauvigny, Louis Edm<c3><a9>","Londres [i.e. Paris], 1765.","French fiction, 18th century",1,151,Manifest_LitAndLang1,0.006578947,1760,0
542,0001100401.xml,1100401,T100068,1769,The farmer's son of Kent. A tale. In two volumes. ...,Volume 1,Anon,"London : printed for Francis Noble, at his Circulating Library near Middle Row, Holborn; and John Noble, at his Circulating Library in St. Martin's Court, near Leicester-Square, MDCCLXIX. [1769].","English fiction, 18th century",1,230,Manifest_LitAndLang1,0.004329004,1760,0
546,0001100601.xml,1100601,T055919,1790,"The baron of Manstow, a novel. From the German. In two volumes. ...",Volume 1,Anon,"London : printed for William Lane, at the Minerva, Leadenhall-Street, M.DCC.XC. [1790].","English fiction, 18th century",1,237,Manifest_LitAndLang1,0.004201681,1790,0
552,0001200301.xml,1200301,T088384,1772,"The phoenix; or, the history of Polyarchus and Argenis. Translated from the Latin, by a lady. In four volumes. ...",Volume 1,"Barclay, John","London : printed for John Bell, at his extensive Circulating Library, near Exeter-Exchange, in the Strand; and C. Etherington, at York, MDCCLXXII. [1772].",Romance fiction,1,312,Manifest_LitAndLang1,0.003194888,1770,0
557,0001300200.xml,1300200,T132635,1753,"L'infortun<c3><a9> Fran<c3><a7>ois, ou les m<c3><a9>moires et aventures du Marquis de Courtanges. Traduits de l'anglois.",0,Anon,"A Londres [i.e. Paris?] : chez Jean Nourse, Libraire, M.DCC.LIII. [1753].","Adventure stories, French, Early works to 1800",1,166,Manifest_LitAndLang1,0.005988024,1750,0
574,0001400500.xml,1400500,T061247,1725,"The delightful, princely and entertaining history of the gentle-craft: containing many matters of delight; very pleasant to read. Shewing what famous men have been shooe-makers [sic] ... Adorned with pictures suitable to each story.",0,"Deloney, Thomas","London : printed for J. Rhodes, 1725.","Shoemakers, Anecdotes, facetiae, satire, etc., Early works to 1800",1,165,Manifest_LitAndLang1,0.006024096,1720,0
575,0001400600.xml,1400600,T060634,1758,"The delightful, Princely, and entertaining history of the gentle-craft. Containing many matters of delight, very pleasant to read. Shewing what famous men have been shoemakers in old Time, with their Worthy Deeds and Generous Humours. Also demonstrating why it was called the gentle-craft; And how the Proverb first came, A Shoemaker's Son is a Prince Born. To which is added, (what is not in any Book of the like Nature) The Merry Pranks of the Green King of St. Martin's, a Shoemaker so called. Concluding with The Shoemakers Glory: Being a Merry Song in the Praise of Shoemakers. To be sung by them every Year on the 25th of October, being Crispin. Adorned with Pictures suitable to each Story.",0,"Deloney, Thomas","London : printed for Henry Woodgate and Samuel Brooks, at the Golden-Ball, in Pater-Noster-Row, 1758.","Shoemakers, Anecdotes, Early works to 1800",1,117,Manifest_LitAndLang1,0.008474576,1750,0
576,0001400701.xml,1400701,T098056,1737,"Cassandra, a romance. In five parts. Written originally in French, and faithfully translated into English, by Sir Charles Cotterell, Master of the Ceremonies to King Charles I. and King Charles II. ...",Volume 1,"La Calpren<c3><a8>de, Gaultier de Coste, seigneur de","London : printed for J. J. and P. Knapton, D. Midwinter, A. Bettesworth and C. Hitch, J. Pemberton, R. Ware, C. Rivington, F. Clay, J. Batley and J. Wood, A. Ward, T. Longman, and R. Hett, M.DCC.XXXVII. [1737].","French fiction, Translations into English, 18th century",1,373,Manifest_LitAndLang1,0.002673797,1730,0
578,0001400703.xml,1400703,T098056,1737,"Cassandra, a romance. In five parts. Written originally in French, and faithfully translated into English, by Sir Charles Cotterell, Master of the Ceremonies to King Charles I. and King Charles II. ...",Volume 3,"La Calpren<c3><a8>de, Gaultier de Coste, seigneur de","London : printed for J. J. and P. Knapton, D. Midwinter, A. Bettesworth and C. Hitch, J. Pemberton, R. Ware, C. Rivington, F. Clay, J. Batley and J. Wood, A. Ward, T. Longman, and R. Hett, M.DCC.XXXVII. [1737].","French fiction, Translations into English, 18th century",1,346,Manifest_LitAndLang1,0.002881844,1730,0
579,0001400704.xml,1400704,T098056,1737,"Cassandra, a romance. In five parts. Written originally in French, and faithfully translated into English, by Sir Charles Cotterell, Master of the Ceremonies to King Charles I. and King Charles II. ...",Volume 4,"La Calpren<c3><a8>de, Gaultier de Coste, seigneur de","London : printed for J. J. and P. Knapton, D. Midwinter, A. Bettesworth and C. Hitch, J. Pemberton, R. Ware, C. Rivington, F. Clay, J. Batley and J. Wood, A. Ward, T. Longman, and R. Hett, M.DCC.XXXVII. [1737].","French fiction, Translations into English, 18th century",1,381,Manifest_LitAndLang1,0.002617801,1730,0
3,0004700402.xml,4700402,T125094,1748,Anecdotes de la cour de Fran<c3><a7>ois I. Par Mlle de Lussan. ...,Volume 2,"Lussan, Marguerite de","Londres [i.e. Paris?] : chez Jean Nours [sic], 1748.","France, Court and courtiers, France, History, Francis I, 1515-1547, Fiction",1,343,Manifest_HistAndGeo,0.002906977,1740,0
616,0005200101.xml,5200101,T108372,1776,"Emma; or, the child of sorrow. A novel. In two volumes. ...",Volume 1,Anon,"London : printed for T. Lowndes, No 77, in Fleet-Street, MDCCLXXVI. [1776].","English fiction, 18th century",1,247,Manifest_LitAndLang1,0.004032258,1770,0
621,0005200302.xml,5200302,T033005,1784,Barham Downs. A novel. In two volumes. By the author of Mount Henneth. ...,Volume 2,"Bage, Robert","London : printed for G. Wilkie, No. 71, St. Paul's Church-Yard, MDCCLXXXIV. [1784].","English fiction, 18th century, Epistolary fiction, English, Early works to 1800",1,356,Manifest_LitAndLang1,0.00280112,1780,0
632,0005300203.xml,5300203,T072293,1793,The life and adventures of Robinson Crusoe. By Daniel De Foe. ... Embellished with Engravings.,Volume 3,"Defoe, Daniel","London : printed for C. Cooke, No. 17, Pater-Noster-Row, [1793].","Castaways, Fiction, Early works to 1800, Crusoe, Robinson (Fictitious character), Fiction, Early works to 1800, Islands, Fiction, Early works to 1800, Survival after airplane accidents, shipwrecks, etc., Fiction, Early works to 1800",1,198,Manifest_LitAndLang1,0.005025126,1790,0
635,0005300400.xml,5300400,T072307,1765,"The life and most surprising adventures of Robinson Crusoe, of York, mariner, who lived eight and twenty years in an uninhabited island on the coast of America, near the mouth of the great river Oroonoque. With an account of his deliverance thence, and his after surprising adventures. Also his Vision to the Angelic World.",0,"Defoe, Daniel","Birmingham : printed by J. Sketchley, auctioner, &c., [1765?].","Castaways, Fiction",1,413,Manifest_LitAndLang1,0.002415459,1760,0
