Count,Tag
103,"FN, C"
91,CW
82,C
64,"C, T"
51,IT
45,"SM, CW"
43,"FN,IT"
41,IN
35,"C, IT"
34,
27,"CW, PB"
25,"FN,IN"
17,"IN, MT"
16,"C, IT"
15,SE
14,"CW, PB"
14,"TE, TY"
12,"SE, CW"
12,"TY, CW"
11,"TY, CW"
11,"BQ, P, CW, TY"
10,"BQ, P, CW, TY"
9,"TY, LB"
9,"FN,C,NN"
9,"SM, CW"
9,"O, TY, TE"
9,T
9,"BQ, P, CW, TY"
9,"SE, CW"
9,"IN, MT"
8,"C, T"
8,TY
8,SM
7,"FN,T"
7,"CW, LB, TY"
7,"C, IN"
7,"TE, LS, TY"
6,"CW, PO"
6,"CW, LB, TY"
6,"SM, CW, O"
6,"BQ, P, CW, TY"
6,TE
6,MT
5,"FN,C, IT"
5,"BQ, P, CW, TY"
5,"O, TY"
5,"CW, TY, O"
5,"SM, CW"
5,"CW, PO, TY"
5,LB
5,"SM, PB, CW"
5,PO
4,"SM, PB, CW"
4,"LS, CW"
4,"BQ, P, CW, TY"
4,"CW, PB, TY, O"
4,O
4,"CW, SM, TY"
4,"LB, CW"
4,"TE, LS, TY"
4,"IT, T"
3,"LB, SM, CW"
3,"LB, P, TY"
3,"CW, SM, TY"
3,"BQ, P, TY"
3,"C, MT"
3,"TE, LB"
3,"BQ, P, CW, TY"
3,"TE, PO, TY"
3,"TE, TY, PB, O"
3,"FN,T,NN"
3,"BQ, P, CW, TY, PB"
3,"CW, PB, TY"
3,"P, LB, CW"
3,"FN,IT,NN"
3,"SM, PB, CW"
3,PB
3,"FN, C"
3,"C, IT, MT"
3,LS
3,"SM, CW, TY, O"
3,"CW, PB, TY"
3,"SM, PB, CW"
3,"BQ, P, CW, SM"
3,"RQ, CW"
3,"BQ, P, CW, TY"
3,"CW, LB, TY"
3,"SM, O"
3,"BQ, CW, TY"
3,"FN,C, T"
3,"M, CW"
3,"SE, SM, CW"
3,"BQ, P, CW, TY, PB"
3,"BQ, P"
3,"PB, SM, CW, TY"
2,"CW, LB, TY"
2,"P, LB, SM, CW"
2,"FN,IT, C"
2,"LS, TE, TY, PB, O"
2,"BQ, P, CW"
2,"SM, CW, PB, O"
2,"LS, TE"
2,"SE, SM, CW"
2,"RQ, PB"
2,"CW, TY, O"
2,"BQ, P, CW, TY, SM"
2,"CW, SM, TY"
2,"BQ, P, CW, TY"
2,"BQ, CW, SM, TY"
2,"LS, TE, LB"
2,"PB, SM, CW, TY"
2,"BQ, P, TY, SM"
2,"C, MT"
2,"C, IN"
2,"O, TE, PO, TY"
2,"SM, TY"
2,"LB, SM, CW"
2,"C, IT, MT"
2,"LS, CW, PB"
2,"CW, TY, BQ, P, PO, PB, O"
2,"O, TY"
2,FN
2,"CW, O"
2,"LS, CW"
2,"TE, CW, TY"
2,"PB, TY"
2,"FN,T, C"
2,"RQ, CW"
2,"BQ, P, CW, TY"
2,BQ
2,"LB, P, TY, CW"
2,"BQ, P, CW, TY, SM"
2,"CW, PB, TY"
2,"CW, PB, TY, O"
2,"CW, PE"
2,"CW, PB, TY"
2,"FN,IN, MT"
2,"BQ, P, TY, SM"
2,CW
2,"BQ, P, TY"
2,"SM, PB, CW"
2,"CW, P, TY"
2,"O, TY, PB"
2,"FN,IN, C"
2,"FN,IN, IT"
2,"SE, CW"
2,"BQ, P, CW, TY, PB"
2,"CW, PB, TY, O"
2,"TE, TY"
1,"RQ, TY, CW"
1,"FN, C"
1,"BQ, P, CW, SM"
1,"SM, CW, LB, P, TY"
1,"CW, SD, TY"
1,"BQ, P, CW, TY, SM"
1,"SE, SM, CW"
1,"PB, PO"
1,"TE, CW, SM"
1,"BQ, P, TY"
1,"TE, SE, TY"
1,"P, TY, CW, SM, BQ, LB"
1,"TE, TY, M"
1,"TY,BQ, O"
1,"BQ, TY"
1,"PO, LS"
1,"CW, LS,NN"
1,"TY, SE, CW, LB"
1,"SE, LB"
1,"PO, SM, CW, TY, PB"
1,"C, T, IN"
1,"LS, CW"
1,"LB, SM, CW"
1,"BQ, P, CW, SM, TY, O"
1,"LB, TY, CW,NN"
1,"CW, PO, TY"
1,"PO, TY, P, BQ, CW"
1,"BQ, LB, CW,NN"
1,"SE, SM, CW,NN"
1,"CW, PB, SE, TY"
1,"FN,IT"
1,RQ
1,P
1,"CW, PB, O"
1,"TE, CW, TY"
1,"TE, LS, P, TY"
1,"BQ, P, TY, LB"
1,"TE, CW, LB, TY"
1,"RQ, SE, CW"
1,"P, BQ, TY, PB"
1,"C, T, IT"
1,"BQ, P, TY,NN"
1,"O, PB"
1,"PO, SM, PB"
1,"BQ, P, TY"
1,"BQ, P, CW, SM"
1,"SM, PB, CW"
1,"BQ, PB, CW"
1,"D, CW, TY, PB"
1,"BQ, P, CW, TY, SM"
1,"C, IT, MT"
1,"PB, TY"
1,"SM, LB"
1,"O, LS, TY"
1,"LB, CW,TY,NN"
1,"BQ , TY,NN"
1,"BQ, P, LB, CW, SM"
1,"SM, CW, BQ, PB, O"
1,"P, SM, CW, TY"
1,"CW, D, SE"
1,"SM, CW, TY, O"
1,"LB, LS, TY"
1,"FN,IT,NN"
1,"BQ, P, TY"
1,"TE, CW, TY"
1,"PB, C, T, IT, CW"
1,"LB, TY, SM"
1,"RQ, SM, CW, SE, PE"
1,"RQ, P, LB, CW, SM"
1,"LS, SE"
1,"LS, TY, TE, PB"
1,"I, O, CW"
1,"CW, D, TY"
1,"CW, C, IT"
1,"BQ, P, CW, TY"
1,"CW, IN"
1,"CW, C, T"
1,"LS, SM"
