,tag
"['FN'],C",103
['CW'],91
['C'],82
"['C', ' T']",64
['IT'],51
"['SM', ' CW']",45
"['FN'],IT",43
['IN'],41
"['C', ' IT']",35
,34
"['PB', ' CW']",27
"['FN'],IN",25
"['MT', ' IN']",17
"['IT', ' C']",16
['SE'],15
"['CW', ' PB']",14
"['TE', ' TY']",14
"['CW', ' SE']",12
"['CW', ' TY']",12
"['CW', ' BQ', ' P', ' TY']",11
"['TY', ' CW']",11
"['P', ' BQ', ' TY', ' CW']",10
"['TY', ' LB']",9
"['P', ' BQ', ' CW', ' TY']",9
"['IN', ' MT']",9
"['FN'],C,NN",9
"['SE', ' CW ']",9
"['TE', ' TY', ' O']",9
['T'],9
"['CW', ' SM']",9
['SM'],8
['TY'],8
"['T', ' C']",8
"['TY', ' LB', ' CW']",7
"['FN'],T",7
"['TE', ' TY', ' LS']",7
"['C', ' IN']",7
['TE'],6
['MT'],6
"['PO', ' CW']",6
"['LB', ' TY', ' CW']",6
"['SM', ' CW', ' O']",6
"['BQ', ' P', ' TY', ' CW']",6
"['PO', ' CW', ' TY']",5
['PO'],5
['LB'],5
"['BQ', ' P', ' CW', ' TY']",5
"['TY', ' O']",5
"['CW', ' TY', ' O']",5
"['PB', ' SM', ' CW']",5
"['FN'],C, IT",5
"['SM', ' CW ']",5
"['TE', ' LS', ' TY']",4
"['CW', ' SM', ' TY']",4
"['T', ' IT']",4
['O'],4
"['LS', ' CW']",4
"['SM', ' CW', ' PB']",4
"['CW', ' P', ' TY', ' BQ']",4
"['LB', ' CW']",4
"['CW', ' TY', ' PB', ' O']",4
"['TE', ' TY', ' PB', ' O']",3
"['SM', ' CW', ' TY', ' O']",3
"['FN'],C, T",3
"['TY', ' P', ' BQ', ' CW']",3
"['FN'],T,NN",3
"['BQ', ' TY', ' CW']",3
"['BQ', ' TY', ' P', ' CW']",3
"['SM', ' PB', ' CW']",3
"['FN'],IT,NN",3
"['LB', ' CW', ' TY']",3
"['BQ', ' P', ' TY', ' CW', ' PB']",3
"['TY', ' BQ', ' P']",3
"['SM', ' CW', ' LB']",3
"['PB', ' CW', ' SM']",3
['PB'],3
"['TE', ' LB']",3
"['BQ', ' P', ' CW', ' SM']",3
"['TE', ' PO', ' TY']",3
"['TY', ' PB', ' CW']",3
"['C', ' MT']",3
"['FN'],C ",3
"['SM', ' O']",3
['LS'],3
"['CW', ' M']",3
"['BQ', ' P', ' CW', ' TY', ' PB']",3
"['P', ' LB', ' CW']",3
"['CW', ' TY', ' PB']",3
"['TY', ' LB', ' P']",3
"['RQ', ' CW ']",3
"['C', ' MT', ' IT']",3
"['SM', ' CW', ' SE']",3
"['BQ', ' P']",3
"['SM', ' CW', ' TY', ' PB']",3
"['TY', ' SM', ' CW']",3
"['TY', ' CW', ' LB']",2
"['O', ' CW', ' PB', ' TY']",2
"['RQ', ' PB']",2
"['CW', ' O']",2
"['CW', ' PB', ' TY', ' O']",2
"['P', ' BQ', ' TY', ' CW', ' PB']",2
"['CW', ' TY', ' BQ', ' P', ' PO', ' PB', ' O']",2
"['FN'],IT, C",2
"['RQ', ' CW']",2
"['MT', ' C']",2
"['CW', ' PE']",2
"['CW', ' LS']",2
"['SE', ' CW']",2
"['TY', ' CW', ' O']",2
"['TY', ' TE']",2
"['BQ', ' P', ' TY', ' SM']",2
"['P', ' BQ', ' TY', ' CW', ' SM']",2
"['TY', ' P', ' LB', ' CW']",2
"['PB', ' CW', ' TY']",2
"['FN'],IN, IT",2
"['SE', ' SM', ' CW']",2
['BQ'],2
"['TE', ' PO', ' TY', ' O']",2
"['IN', ' C']",2
"['LS', ' CW', ' PB']",2
"['FN'],IN, MT",2
"['CW', ' BQ', ' P']",2
"['TE', ' CW', ' TY']",2
"['PB', ' SM', ' CW', ' TY']",2
"['CW', ' P', ' BQ', ' TY']",2
"['TY', ' P', ' CW']",2
"['PB', ' TY', ' CW']",2
"['SM', ' CW', ' TY']",2
"['LB', ' SM', ' CW']",2
"['LS', ' TE', ' LB']",2
"['LS', ' TE']",2
"['SM', ' BQ', ' P', ' TY']",2
"['CW', ' SM', ' PB']",2
"['LS', ' TE', ' TY', ' PB', ' O']",2
"['BQ', ' CW', ' SM', ' TY']",2
"['P', ' BQ', ' CW', ' TY', ' SM']",2
"['P', ' LB', ' SM', ' CW']",2
"['FN'],IN, C",2
"['TY', ' PB']",2
['CW '],2
"['BQ', ' TY', ' CW', ' P']",2
"['TY', ' PB', ' O']",2
"['SM', ' CW', ' PB', ' O']",2
"['O', ' TY']",2
"['TY', ' SM']",2
"['FN'],T, C",2
"['MT', ' C', ' IT']",2
"['P', ' BQ', ' TY']",2
['FN'],2
"[' FN'],IT,NN",1
"['CW', ' C', ' IT']",1
"['SM', ' LB']",1
"['TY', 'BQ', ' O ']",1
"['TE', ' TY', ' CW']",1
"['SM', ' BQ', ' P', ' CW']",1
"['TE', ' TY', ' SM']",1
"['LB', ' P', ' TY']",1
"['PO', ' SM', ' CW', ' TY', ' PB']",1
"['RQ', ' P', ' CW', ' LB']",1
"['TY', ' P', ' BQ', ' LB']",1
"['TY', ' P', ' BQ', ' CW', ' SM']",1
"['BQ ', ' P', ' TY']",1
"['TE', ' LS', ' P', ' TY']",1
"['SM', ' SE', ' CW']",1
"['PO', ' CW', ' TY', ' SM']",1
"['SM', ' TY', ' CW', ' O']",1
"['LS', ' CW ']",1
"['BQ', ' LB']",1
"['TY', ' P', ' BQ']",1
"['BQ', ' P', ' TY', ' CW', ' SM', ' PB']",1
"['TE', ' CW', ' LB', ' TY']",1
"['CW', ' PB', ' BQ', ' P', ' TY']",1
"['PB', ' TY', ' O']",1
"['BQ', ' P', ' TY'],NN",1
"['PB', ' CW', ' O', ' TY']",1
"['BQ', ' P', ' TY', ' PB', ' CW']",1
"['TY', ' SE', ' CW', ' LB']",1
"['TY', ' CW ']",1
"['IT', ' C', ' MT']",1
"['RQ', ' SM', ' CW', ' SE', ' PE']",1
"['TY', ' O', ' CW']",1
"['P', ' SM', ' CW', ' TY']",1
"['CW', ' D', ' TY']",1
"['SM', ' TY', ' LB']",1
"['SE', ' TY', ' LB']",1
"['CW', ' TY', ' BQ', ' P']",1
"['TY', ' BQ', ' P', ' CW']",1
['M'],1
"['RQ', 'TY', ' LB'],NN",1
"['CW', ' BQ', ' P', ' TY', ' M']",1
"['PB', ' CW', ' TY', ' O']",1
"['RQ', ' P', ' LB', ' CW', ' SM']",1
"['BQ', ' P', ' LB', ' CW']",1
"['BQ', ' P', ' LB', ' CW', ' SM']",1
"['TY', ' SM', ' CW', ' O']",1
"['SM', ' TE', ' CW', ' TY']",1
"['LB', ' TY', ' SM', ' CW']",1
"['SM', ' P', ' BQ', ' CW', ' TY']",1
"['LS', ' TY', ' TE', ' PB']",1
"['O', ' TY', ' TE']",1
"['I', ' O', ' CW']",1
"['CW', ' D', ' SE']",1
['CW. TY'],1
"['CW', ' P', ' BQ', ' TY', ' PB']",1
"['LB', ' TY', ' P', ' CW']",1
"['LB', ' CW'],NN",1
"['BQ', ' P', ' TY', ' TE']",1
"['BQ', ' P', ' CW', ' SM', ' TY', ' O']",1
"['SE', ' SM', ' CW'],NN",1
"['SM', ' TY']",1
"['C', ' IT', ' MT']",1
"['FN'], ",1
"['TY', ' LB', ' TY']",1
"['IT', ' MT']",1
"['TE. LS', ' TY', ' LB']",1
"['TE', ' SE', ' TY']",1
"['CW', ' P']",1
"['PB', ' P', ' CW'], ",1
"['TE', ' TY', ' LB', ' P']",1
['RQ. CW'],1
"['RQ', ' BQ', ' TY', ' P ']",1
"['C', ' IT', ' IN', ' MT']",1
['P'],1
"['CW', ' C', ' T']",1
"['CW', ' LB '],NN",1
"['M', ' CW ']",1
"['PB', ' P']",1
"['PB', ' P', ' CW ']",1
"['M', ' CW', ' SM']",1
"['BQ', ' CW ']",1
"['P', ' BQ', ' TY', ' PB']",1
"['PB', ' TY', ' CW', ' BQ', ' P']",1
"['P', ' BQ', ' CW', ' TY', ' PB']",1
"['D', ' LB', ' CW']",1
"['C', ' T', ' IN']",1
"['O', ' PB']",1
"['LB', ' TY', ' CW', ' SM']",1
"['BQ', ' CW', ' TY']",1
"['D', ' CW', ' TY', ' PB']",1
"['LB', ' P', ' TY', ' CW']",1
"['SE', ' SM', ' D', ' PB', ' TY']",1
"['BQ', ' NY', ' LB']",1
"['PO', ' SM', ' PB']",1
"['CW', ' PB', ' SE', ' TY']",1
"['SE', ' SM', ' P'],NN",1
"['P', ' BQ', ' SM', ' CW', ' TY']",1
"['TE', ' TY', ' PB']",1
"['P', ' BQ', ' TY', ' SM', ' CW']",1
"['TY', ' CW', ' SM', ' O']",1
"['P', ' BQ', ' SM', ' TY', ' CW']",1
"['CW', ' D']",1
"['CH', ' CW', ' TY']",1
"['O', ' TE', ' PO', ' TY']",1
"['RQ', ' LB', ' CW']",1
"['LS', ' SE ']",1
"['LP', ' P']",1
"['D', ' CW']",1
"['BQ', ' P', ' TY', ' SM', ' CW', ' O']",1
"['CW', ' PB', ' TY']",1
['PE'],1
"['CW', ' LB', ' TY ']",1
"['PO', ' SM', ' CW']",1
"['BQ', ' P', ' CW', ' TY', ' SM']",1
"['SE', ' TY']",1
"['D', ' SM']",1
"['TE', ' P', ' BQ', ' TY']",1
"['CW', ' BQ', ' P', ' TY', ' SM']",1
"['CW', ' TY', ' PO']",1
"['RQ', ' SE', ' CW']",1
['BQ /TY'],1
"['SE', ' SM', ' CW ']",1
R,1
"['FN'],IT ",1
"['TY', ' PB', ' SM', ' O']",1
"['P', ' TY', ' BQ', ' CW']",1
"['SD', ' CW']",1
"['D', ' TY', ' CW']",1
"['TY', ' CW', ' PB']",1
"['TY', ' PB', ' CW', ' O']",1
"['TY', ' LB', ' P'],NN",1
"['SM', ' CW', ' BQ', ' TY']",1
"['CW', ' P', ' TY']",1
"['MT', ' IT', ' C']",1
"['SE', ' LB', ' CW']",1
"['TE', ' TY', ' M']",1
"['BQ', ' P', ' TY']",1
"['RQ', ' LB', ' CW', ' TY']",1
"['FN'],IN, MT, IT",1
